text,stage
"Therefore, hear me, Hermia:I have a widow aunt, a dowagerOf great revenue, and she hath no child.",False
"From Athens is her house remote seven leagues,And she respects me as her only son.",False
"There, gentle Hermia, may I marry thee;And to that place",False
the sharp Athenian lawCannot pursue us.,False
"If thou lovest me, thenSteal forth thy father’s house tomorrow night,",False
And in the wood a league without the town(Where I did meet thee once with HelenaTo,False
"do observance to a morn of May),There",False
will I stay for thee.,False
"My good Lysander,I swear to thee by Cupid’s",False
"strongest bow,By his best arrow with the golden head,By the simplicity of Venus’ doves,By that which knitteth souls and prospers loves,And by that fire which burned the Carthage queenWhen the false Trojan under sail was seen,By all the vows that ever men have broke(In number more than ever women spoke),In",False
"that same place thou hast appointed me,Tomorrow truly will I meet with thee.",False
"Keep promise, love.",False
"Look, here comes Helena.",False
Enter Helena.,True
"Godspeed, fair Helena.",False
Whither away?Call,False
you me “fair”?,False
That “fair” again unsay.,False
Demetrius loves your fair.,False
O happy fair!Your eyes are lodestars and your tongue’s sweet airMore tunable than lark to shepherd’s,False
"earWhen wheat is green, when hawthorn buds appear.",False
Sickness is catching.,False
"O, were favor so!Yours",False
"would I catch, fair Hermia, ere",False
I go.,False
"My ear should catch your voice, my eye your eye;My tongue should catch your tongue’s sweet melody.",False
"Were the world mine, Demetrius being bated,The rest I’d give to be to you translated.",False
"O, teach me how you look and with what artYou sway the motion of Demetrius’",False
"heart!I frown upon him, yet he loves me still.",False
"O, that your frowns would teach my smiles such skill!I give him curses, yet he gives me love.",False
"O, that my prayers could such affection",False
move!The more,False
"I hate, the more he follows me.",False
"The more I love, the more he hateth me.",False
"His folly, Helena, is no fault of mine.",False
None but your beauty.,False
Would that fault were mine!Take comfort: he no more shall see my face.,False
Lysander and myself will fly this place.,False
Before the time I did Lysander seeSeemed Athens as a paradise to me.,False
"O, then, what graces in my love do dwellThat",False
"he hath turned a heaven unto a hell!Helen, to you our minds we will unfold.",False
"Tomorrow night when Phoebe doth beholdHer silver visage in the wat’ry glass,Decking with liquid pearl the bladed grass(A time that lovers’ flights doth still",False
"conceal),Through Athens’ gates have we devised to steal.",False
"And in the wood where often you and IUpon faint primrose beds were wont to lie,Emptying our bosoms of their counsel sweet",False
",There my Lysander and myself shall meetAnd thence from Athens turn away our eyesTo seek new friends and stranger companies.",False
"Farewell, sweet playfellow.",False
"Pray thou for us,And good luck grant thee thy",False
"Demetrius.—Keep word, Lysander.",False
We must starve our sightFrom lovers’ food till morrow deep midnight.,False
"I will, my Hermia.",False
Hermia exits.,True
"Helena, adieu.",False
"As you on him, Demetrius dote on you!",False
Lysander exits.,True
How happy some o’er other some can be!Through,False
Athens I am thought as fair as she.,False
But what of that?,False
Demetrius thinks not so.,False
He will not know what all,False
but he do know.,False
"And, as he errs, doting on Hermia’s eyes,So I, admiring of his qualities.",False
"Things base and vile, holding no quantity",False
",Love can transpose to form and dignity.",False
Love looks not with the eyes but with the mind;And therefore is winged,False
Cupid painted blind.,False
Nor hath Love’s mind of any judgment taste.,False
"Wings, and no eyes, figure unheedy haste.",False
And therefore is,False
Love said to be a childBecause in choice he is so oft beguiled.,False
"As waggish boys in game themselves forswear,So the boy Love is perjured everywhere.",False
"For, ere Demetrius looked on Hermia’s eyne,He hailed down oaths that he was only mine;And when this hail",False
"some heat from Hermia felt,So he dissolved, and show’rs of oaths did melt.",False
I will go tell him of fair Hermia’s flight.,False
Then to the wood will he tomorrow nightPursue her.,False
"And, for this intelligenceIf",False
"I have thanks, it is a dear expense.",False
"But herein mean I to enrich my pain,",False
To have his sight thither and back again.,False
She exits.,True
"Enter Quince the carpenter, and Snug the joiner, and Bottom the weaver, and Flute the bellows-mender, and Snout the tinker, and Starveling the tailor.",True
"Is all our company here?You were best to call them generally, man byman, according to the scrip.",False
"Here is the scroll of every man’s name whichis thought fit, through all Athens, to play in ourinterlude before the Duke and the Duchess on hiswedding day at night.",False
"First, good Peter Quince, say what the playtreats on, then read the names of the actors, and sogrow to a point.",False
"Marry, our play is “The most lamentablecomedy and most cruel death of Pyramus andThisbe.",False
”A,False
very good piece of work,False
", I assure you, and amerry.",False
"Now, good Peter Quince, call forth youractors by the scroll.",False
"Masters, spread yourselves.",False
Answer as I call you.,False
"Nick Bottom, the weaver.",False
Ready.,False
Name,False
"what part I am for, andproceed.",False
"You, Nick Bottom, are set down for Pyramus.",False
What is Pyramus—a lover or a tyrant?A lover that kills himself most gallant for love.,False
That will ask some tears in the true performingof it.,False
"If I do it, let the audience look to theireyes.",False
I will move storms; I will condole in somemeasure.,False
To the rest.—Yet,False
my chief humor is for atyrant.,False
"I could play Ercles rarely, or a part to tear acat in, to make all split:",False
The raging rocksAnd shivering shocksShall break the locksOf prison gates.,False
And Phibbus’ carShall shine from farAnd make and marThe foolish Fates.,False
This was lofty.,False
Now name the rest of the players.,False
"This is Ercles’ vein, a tyrant’s vein.",False
A lover is morecondoling.,False
"Francis Flute, the bellows-mender.",False
"Here, Peter Quince.",False
"Flute, you must take Thisbe on you.",False
What is Thisbe—a wand’ring knight?It is the lady that Pyramus must love.,False
"Nay, faith, let not me play a woman.",False
I have abeard coming.,False
That’s all one.,False
"You shall play it in a mask, andyou may speak as small as you will.",False
"An I may hide my face, let me play Thisbe too.",False
"I’ll speak in a monstrous little voice: “Thisne,Thisne!”—“Ah Pyramus, my lover dear!",False
"Thy Thisbedear and lady dear!”No, no, you must play Pyramus—and, Flute,you Thisbe.",False
"Well, proceed.",False
"Robin Starveling, the tailor.",False
"Here, Peter Quince.",False
"Robin Starveling, you must play Thisbe’smother.—Tom Snout, the tinker.",False
"Here, Peter Quince.",False
"You, Pyramus’ father.—Myself, Thisbe’sfather.—Snug",False
"the joiner, you the lion",False
’s,False
part.—And,False
I hope here is a play fitted.,False
Have you the lion’s part written?,False
"Pray you, if itbe, give it me, for I am slow of study.",False
"You may do it extempore, for it is nothing butroaring.",False
Let me play the lion too.,False
I will roar that I willdo any man’s heart good to hear me.,False
I will roar,False
thatI will make the Duke say “Let him roar again.,False
Lethim roar again!”An,False
"you should do it too terribly, you wouldfright the Duchess and the ladies that they wouldshriek, and that were enough to hang us all.",False
"That would hang us, every mother’s son.",False
"I grant you, friends, if you should fright theladies out of their wits, they would have no morediscretion but to hang us.",False
But I will aggravate myvoice so that I will roar you as gently as any suckingdove.,False
I will roar you an ’twere any nightingale.,False
"You can play no part but Pyramus, for Pyramusis a sweet-faced man, a proper man as oneshall see in a summer’s day, a most lovely gentlemanlikeman.",False
Therefore you must needs play Pyramus.,False
"Well, I will undertake it.",False
"What beard were Ibest to play it in?Why, what you will.",False
"I will discharge it in either your straw-colorbeard, your orange-tawny beard, your purple-in-grainbeard, or your French-crown-color beard,your perfit yellow.",False
"Some of your French crowns have no hair atall, and then you will play barefaced.",False
"But, masters,here are your parts,",False
" giving out the parts,",True
" and I amto entreat you, request you, and desire you to conthem by tomorrow night and meet me in the palacewood, a mile without the town, by moonlight.",False
"Therewill we rehearse, for if we meet in the city",False
", we shallbe dogged with company and our devices known.",False
Inthe meantime I will draw a bill of properties such asour play wants.,False
I pray you fail me not.,False
"We will meet, and there we may rehearsemost obscenely and courageously.",False
Take pains.,False
Beperfit.,False
Adieu.,False
At the Duke’s Oak we meet.,False
Enough.,False
Hold or cut bowstrings.,False
They exit.,True
Enter a Fairy at one door and Robin Goodfellow at another.,True
"How now, spirit?",False
Whither wander,False
"you?Over hill, over dale,Thorough bush, thorough brier,Over park, over pale,Thorough flood, thorough fire;I do wander everywhere,Swifter than the moon’s sphere.",False
"And I serve the Fairy Queen,To dew her orbs upon the green.",False
The cowslips tall her pensioners be;In their gold coats,False
"spots you see;Those be rubies, fairy favors;In those freckles live their savors.",False
I must go seek some dewdrops,False
hereAnd hang a pearl in every cowslip,False
’s ear.,False
"Farewell, thou lob of spirits.",False
I’ll be gone.,False
Our queen and all her elves come here anon.,False
The King doth keep his revels here tonight.,False
"Take heed the Queen come not within his sight,For Oberon is passing fell and wrathBecause that she, as her attendant, hathA lovely boy stolen from an Indian king;She never had so sweet a changeling.",False
"And jealous Oberon would have the childKnight of his train, to trace the forests wild.",False
"But she perforce withholds the lovèd boy,Crowns him with flowers and makes him all her joy.",False
"And now they never meet in grove or green,By fountain clear or spangled starlight sheen,But they do square, that all their elves for fearCreep into acorn cups and hide them there.",False
"Either I mistake your shape and making quite,Or else you are that shrewd and knavish spriteCalled Robin Goodfellow.",False
Are not you,False
"heThat frights the maidens of the villagery,Skim milk, and sometimes labor in the quernAnd bootless",False
"make the breathless huswife churn,And sometime make the drink to bear no barm,Mislead night wanderers, laughing at their harm?Those that “Hobgoblin” call you and “sweet Puck,”You do their work, and they shall have good luck.",False
Are not you,False
he?Thou speakest aright.,False
I am that merry wanderer of the night.,False
I jest to Oberon and make him smileWhen I,False
"a fat and bean-fed horse beguile,",False
Neighing in likeness of a filly foal.,False
And sometime lurk I in a gossip,False
"’s bowlIn very likeness of a roasted crab,",False
"And, when she drinks, against her lips I bobAnd on her withered dewlap pour the ale.",False
"The wisest aunt, telling the saddest tale,Sometime for three-foot stool mistaketh me;Then slip I from her bum, down topples sheAnd",False
“Tailor!”,False
"cries and falls into a cough,",False
And then the whole choir hold their hips and loffeAnd waxen in their mirth and,False
neeze and swearA merrier hour was never wasted there.,False
"But room, fairy.",False
Here comes Oberon.,False
And here my mistress.,False
Would that he were gone!,False
"Enter Oberon the King of Fairies at one door, with his train, and Titania the Queen at another, with hers.",True
"Ill met by moonlight, proud Titania.",False
"What, jealous Oberon?",False
"Fairies, skip hence.",False
I have forsworn his bed and company.,False
"Tarry, rash wanton.",False
Am not I thy lord?Then,False
I must be thy lady.,False
But I knowWhen thou hast stolen away from FairylandAnd in the shape of Corin sat all dayPlaying on pipes of corn and versing loveTo amorous Phillida.,False
Why art thou here,False
",Come from the farthest steep of India,But that, forsooth, the bouncing Amazon,Your buskined mistress and your warrior love,To Theseus must be wedded, and you comeTo give their bed joy and prosperity?How canst thou thus for shame, Titania,Glance at my credit with Hippolyta,",False
Knowing,False
"I know thy love to Theseus?Didst not thou lead him through the glimmering nightFrom Perigouna, whom he ravishèd,And make him with fair Aegles break his faith,With Ariadne and Antiopa?These are the forgeries of jealousy;And never, since the middle summer’s spring,Met we on hill, in dale, forest, or mead,By pavèd fountain or by rushy brook,Or in the beachèd margent of the sea,To dance our ringlets to the whistling wind,But with thy brawls thou hast disturbed our sport.",False
"Therefore the winds, piping to us in vain,As in revenge have sucked up from the seaContagious fogs, which, falling in the land,Hath every pelting river made so proudThat they have overborne their continents.",False
"The ox hath therefore stretched his yoke in vain,The plowman lost his sweat, and the green cornHath rotted ere",False
his youth attained a beard.,False
"The fold stands empty in the drownèd field,And crows are fatted with the murrain flock.",False
"The nine-men’s-morris is filled up with mud,And the quaint mazes in the wanton green,",False
"For lack of tread, are undistinguishable.",False
The human mortals want their winter here.,False
No night is now with hymn or carol blessed.,False
"Therefore the moon, the governess of floods,Pale in her anger, washes all the air,That rheumatic diseases do abound.",False
And thorough this distemperature we seeThe,False
"seasons alter: hoary-headed frostsFall in the fresh lap of the crimson rose,And on old Hiems’ thin and icy crownAn odorous chaplet of sweet summer budsIs, as in mockery, set.",False
"The spring, the summer,The childing autumn, angry winter, changeTheir wonted liveries, and the mazèd worldBy",False
their increase now knows not which is which.,False
"And this same progeny of evils comesFrom our debate, from our dissension;We are their parents and original.",False
"Do you amend it, then.",False
It lies in you.,False
Why should Titania cross her Oberon?I do but beg a little changeling boyTo be my henchman.,False
Set your heart at rest:,False
The Fairyland buys not the child of me.,False
"His mother was a vot’ress of my order,And in the spicèd Indian air by nightFull often hath she gossiped by my sideAnd sat with me on Neptune’s yellow sands,Marking th’ embarkèd traders on the flood,When we have laughed to see the sails conceiveAnd grow big-bellied with the wanton",False
wind;Which,False
"she, with pretty and with swimming gait,Following (her womb then rich with my young squire),Would imitate and sail upon the landTo fetch me trifles and return again,As from a voyage, rich with merchandise.",False
"But she, being mortal, of that boy did die,And for her sake do I rear up her boy,And for her sake I will not part with him.",False
How long within this wood intend you stay?Perchance till after Theseus’ wedding day.,False
"If you will patiently dance in our roundAnd see our moonlight revels, go with us.",False
"If not, shun me, and I will spare your haunts.",False
Give me that boy and I will go with thee.,False
Not for thy fairy kingdom.,False
"Fairies, away.",False
We shall chide downright if I longer stay.,False
Titania and her fairies exit.,True
"Well, go thy way.",False
Thou shalt not from this groveTill,False
"I torment thee for this injury.—My gentle Puck, come hither.",False
Thou rememb’restSince,False
once I sat upon a promontoryAnd heard a mermaid on a dolphin’s backUttering such dulcet and harmonious breathThat the rude sea grew civil at her songAnd,False
certain stars shot madly from their spheresTo hear the sea-maid’s music.,False
I remember.,False
"That very time I saw (but thou couldst not),Flying between the cold moon and the Earth,Cupid all armed.",False
A certain aim,False
he tookAt,False
"a fair vestal thronèd by the west,And loosed his love-shaft smartly from his bowAs",False
it should pierce a hundred thousand hearts.,False
"But I might see young Cupid’s fiery shaftQuenched in the chaste beams of the wat’ry moon,And the imperial vot’ress passèd onIn maiden meditation, fancy-free.",False
Yet marked I where the bolt of Cupid fell.,False
"It fell upon a little western flower,Before, milk-white, now purple with love’s wound,And maidens call it “love-in-idleness.",False
”Fetch me that flower; the herb I showed thee once.,False
The juice of it on sleeping eyelids laidWill make or man or woman madly doteUpon the next live creature that it sees.,False
"Fetch me this herb, and be thou here againEre",False
the leviathan can swim a league.,False
I’ll put a girdle round about the EarthIn forty minutes.,False
He exits.,True
"Having once this juice,I’ll watch Titania when she is asleepAnd",False
drop the liquor of it in her eyes.,False
"The next thing then she, waking, looks upon(Be it on lion, bear, or wolf, or bull,On meddling monkey, or on busy ape)She shall pursue it with the soul of love.",False
And ere I take this charm from off her sight(As,False
"I can take it with another herb),I’ll",False
make her render up her page to me.,False
But who comes here?,False
"I am invisible,And I will overhear their conference.",False
"Enter Demetrius, Helena following him.",True
I love thee not; therefore pursue me not.,False
Where is Lysander and fair,False
Hermia?The one,False
I’ll stay; the other stayeth me.,False
Thou told’st,False
me,False
"they were stol’n unto this wood,And here am I, and wood within this woodBecause",False
I cannot meet my Hermia.,False
"Hence, get thee gone, and follow me no more.",False
"You draw me, you hard-hearted",False
adamant!But,False
"yet you draw not iron, for my heartIs true as steel.",False
"Leave you your power to draw,And I shall have no power to follow you.",False
Do I entice you?,False
Do I speak you,False
fair?Or,False
rather do I not in plainest,False
truthTell,False
you,False
"I do not, nor I cannot love you?And even for that",False
do I love you the more.,False
"I am your spaniel, and, Demetrius,The more you beat me I will fawn on you.",False
Use me,False
"but as your spaniel: spurn me, strike me,Neglect me, lose me; only give me leave(Unworthy as I am) to follow you.",False
What worser place can I beg in your love(And yet,False
a place of high respect with me)Than,False
to be usèd as you use your dog?Tempt,False
"not too much the hatred of my spirit,For I am sick when I do look on thee.",False
And I am sick when I look not on you.,False
You do impeach your modesty too,False
"muchTo leave the city and commit yourselfInto the hands of one that loves you not,To trust the opportunity of nightAnd the ill counsel of a desert placeWith the rich worth of your virginity.",False
Your virtue is my privilege.,False
"For thatIt is not night when I do see your face,Therefore I think I am not in the night.",False
"Nor doth this wood lack worlds of company,For you, in my respect, are all the world.",False
"Then, how can it be said I am aloneWhen all the world is here to look on me?I’ll run from thee and hide me in the brakesAnd leave thee to the mercy of wild beasts.",False
The wildest hath not such a heart as you.,False
Run when you will.,False
The story shall be changed:Apollo flies and Daphne holds the chase;The dove pursues the griffin; the mild hindMakes speed to catch the tiger.,False
Bootless speedWhen cowardice pursues and valor flies!I will not stay thy questions.,False
"Let me go,Or if thou follow me, do not believeBut",False
I shall do thee mischief in the wood.,False
"Ay, in the temple, in the town, the field,You do me mischief.",False
"Fie, Demetrius!Your wrongs do set a scandal on my sex.",False
We cannot fight for love as men may do.,False
We should be wooed and were not made to woo.,False
Demetrius exits.,True
I’ll follow thee and make a heaven of hellTo die upon the hand I love so well.,False
Helena exits.,True
"Fare thee well, nymph.",False
"Ere he do leave this grove,Thou shalt fly him, and he shall seek thy love.",False
Enter Robin.,True
Hast thou,False
the flower there?,False
"Welcome, wanderer.",False
"Ay, there it is.",False
I pray thee give it me.,False
Robin gives him the flower.,True
"I know a bank where the wild thyme blows,Where oxlips and the nodding violet grows,Quite overcanopied with luscious woodbine,With sweet muskroses, and with eglantine.",False
"There sleeps Titania sometime of the night,Lulled in these flowers with dances and delight.",False
"And there the snake throws her enameled skin,Weed wide enough to wrap a fairy in.",False
And with the juice of this I’ll streak her eyesAnd,False
make her full of hateful fantasies.,False
"Take thou some of it, and seek through this grove.",False
He gives Robin part of the flower.,True
A sweet Athenian lady is in loveWith a disdainful youth.,False
"Anoint his eyes,But do it when the next thing he espiesMay be the lady.",False
Thou shalt know the manBy the Athenian garments he hath on.,False
"Effect it with some care, that he may proveMore fond on her than she upon her love.",False
And look thou meet me ere the first cock crow.,False
"Fear not, my lord.",False
Your servant shall do so.,False
They exit.,True
"Enter Titania, Queen of Fairies, with her train.",True
"Come, now a roundel and a fairy song;Then, for the third part of a minute, hence—Some to kill cankers in the muskrose buds,Some war with reremice for their leathern",False
"wingsTo make my small elves coats, and some keep backThe clamorous owl that nightly hoots and wondersAt",False
our quaint spirits.,False
Sing me now asleep.,False
Then to your offices and let me rest.,False
She lies down.,True
Fairies sing.,True
"You spotted snakes with double tongue,Thorny hedgehogs, be not seen.",False
"Newts and blindworms, do no wrong,Come not near our Fairy Queen.",False
"Philomel, with melodySing in our sweet lullaby.",False
"Lulla, lulla, lullaby, lulla, lulla, lullaby.",False
Never harmNor spell nor charmCome our lovely lady nigh.,False
"So good night, with lullaby.",False
"Weaving spiders, come not here.",False
"Hence, you long-legged spinners, hence.",False
"Beetles black, approach not near.",False
"Worm nor snail, do no offence.",False
"Philomel, with melodySing in our sweet lullaby.",False
"Lulla, lulla, lullaby, lulla, lulla, lullaby.",False
Never harmNor spell nor charmCome our lovely lady nigh.,False
"So good night, with lullaby.",False
Titania sleeps.,True
"Hence, away!",False
Now all is well.,False
One aloof stand sentinel.,False
 Fairies exit.,True
"Enter Oberon, who anoints Titania’s eyelids with the nectar.",True
What thou seest when thou dost wakeDo it for thy true love take.,False
Love and languish for his sake.,False
"Be it ounce, or cat, or bear,Pard, or boar with bristled hair,",False
"In thy eye that shall appearWhen thou wak’st, it is thy dear.",False
Wake when some vile thing is near.,False
He exits.,True
Enter Lysander and Hermia.,True
"Fair love, you faint with wand’ring in the wood.",False
"And, to speak troth, I have forgot our way.",False
"We’ll rest us, Hermia, if you think it good,And tarry for the comfort of the day.",False
"Be it so, Lysander.",False
"Find you out a bed,For I upon this bank will rest my head.",False
"One turf shall serve as pillow for us both;One heart, one bed, two bosoms, and one troth.",False
"Nay, good Lysander.",False
"For my sake, my dear,Lie further off yet.",False
Do not lie so near.,False
"O, take the sense, sweet, of my innocence!Love",False
takes the meaning in love’s conference.,False
"I mean that my heart unto yours is knit,So that but one heart we can make of it;Two bosoms interchainèd with an oath—",False
So then two bosoms and a single troth.,False
Then by your side no bed-room,False
"me deny,For lying so, Hermia, I do not lie.",False
Lysander riddles very prettily.,False
Now much beshrew my manners and my prideIf Hermia,False
meant to say Lysander lied.,False
"But, gentle friend, for love and courtesy,Lie further off in human modesty.",False
"Such separation, as may well be said,Becomes a virtuous bachelor and a maid.",False
"So far be distant; and good night, sweet friend.",False
Thy love ne’er alter till thy sweet life end!“Amen,False
", amen” to that fair prayer, say I,And then end life when I end loyalty!Here",False
is my bed.,False
Sleep give thee all his rest!With half that wish the wisher,False
’s eyes be pressed!,False
They sleep.,True
Enter Robin.,True
"Through the forest have I gone,But Athenian found I noneOn whose eyes I might approveThis flower’s force in stirring love.",False
He sees Lysander.,True
Night and silence!,False
Who is here?Weeds of Athens he doth wear.,False
This is he my master saidDespisèd the Athenian maid.,False
"And here the maiden, sleeping soundOn the dank and dirty ground.",False
"Pretty soul, she durst not lieNear this lack-love, this kill-courtesy.—Churl, upon thy eyes",False
I throwAll the power,False
this charm doth owe.,False
He anoints Lysander’s eyelids with the nectar.,True
"When thou wak’st, let love forbidSleep his seat on thy eyelid.",False
"So, awake when I am gone,For I must now to Oberon.",False
He exits.,True
"Enter Demetrius and Helena, running.",True
"Stay, though thou kill me, sweet Demetrius.",False
"I charge thee, hence, and do not haunt me thus.",False
"O, wilt thou darkling leave me?",False
Do not so.,False
"Stay, on thy peril.",False
I alone will go.,False
Demetrius exits.,True
"O, I am out of breath in this fond chase.",False
"The more my prayer, the lesser is my grace.",False
"Happy is Hermia, wheresoe’er",False
"she lies,",False
For she hath blessèd and attractive eyes.,False
How came her eyes so bright?,False
Not with salt tears.,False
"If so, my eyes are oftener washed than hers.",False
"No, no, I am as ugly as a bear,For beasts that meet me",False
run away for fear.,False
Therefore no marvel though DemetriusDo as a monster fly my presence thus.,False
What wicked and dissembling glass of mineMade,False
me compare with Hermia’s,False
sphery,False
eyne?But who is here?,False
"Lysander, on the ground!Dead or asleep?",False
"I see no blood, no wound.—Lysander, if you live, good sir, awake.",False
", waking up",True
And run through fire I will for thy sweet sake.,False
Transparent Helena!,False
"Nature shows art,That through thy bosom makes me see thy heart.",False
Where is Demetrius?,False
"O, how fit a wordIs that vile name to perish on my sword!Do not say so.",False
"Lysander, say not so.",False
What though he love your Hermia?,False
"Lord, what though?Yet Hermia still loves you.",False
Then be content.,False
Content with Hermia?,False
"No, I do repentThe tedious minutes",False
I with her have spent.,False
"Not Hermia, but Helena I love.",False
Who will not change a raven for,False
"a dove?The will of man is by his reason swayed,And reason says you are the worthier maid.",False
"Things growing are not ripe until their season;So I, being young, till now ripe not to reason.",False
"And touching now the point of human skill,Reason becomes the marshal to my willAnd",False
"leads me to your eyes, where I o’erlookLove’s stories written in love’s richest book.",False
Wherefore was I to this keen mockery born?When at your hands,False
"did I deserve this scorn?Is ’t not enough, is ’t not enough",False
", young man,",False
"That I did never, no, nor never canDeserve a sweet look from Demetrius’ eye,But you must flout my insufficiency?Good troth",False
", you do me",False
"wrong, good sooth",False
", you do,In such disdainful manner me to woo.",False
But fare you well.,False
Perforce,False
I must confessI thought you lord of more true gentleness.,False
"O, that a lady of one man refusedShould of another therefore be abused!",False
She exits.,True
"She sees not Hermia.—Hermia, sleep thou there,And never mayst thou come Lysander near.",False
"For, as a surfeit of the sweetest thingsThe",False
